id,sequence,task,choices,response,domain,response_type,group
0vg9s78,0,All;farmers;scholars/All;assistants;scholars,All;farmers;assistants|All;assistants;farmers|Some;farmers;assistants|Some;assistants;farmers|No;farmers;assistants|No;assistants;farmers|Some not;farmers;assistants|Some not;assistants;farmers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,1,All;auditors;painters/Some;cleaners;painters,All;auditors;cleaners|All;cleaners;auditors|Some;auditors;cleaners|Some;cleaners;auditors|No;auditors;cleaners|No;cleaners;auditors|Some not;auditors;cleaners|Some not;cleaners;auditors|NVC,NVC,syllogistic,single-choice,a
0vg9s78,2,Some not;buyers;cyclists/All;students;buyers,All;cyclists;students|All;students;cyclists|Some;cyclists;students|Some;students;cyclists|No;cyclists;students|No;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|NVC,Some not;students;cyclists,syllogistic,single-choice,a
0vg9s78,3,All;pilots;tailors/No;pilots;singers,All;tailors;singers|All;singers;tailors|Some;tailors;singers|Some;singers;tailors|No;tailors;singers|No;singers;tailors|Some not;tailors;singers|Some not;singers;tailors|NVC,NVC,syllogistic,single-choice,a
0vg9s78,4,No;porters;judges/Some;brewers;judges,All;porters;brewers|All;brewers;porters|Some;porters;brewers|Some;brewers;porters|No;porters;brewers|No;brewers;porters|Some not;porters;brewers|Some not;brewers;porters|NVC,No;brewers;porters,syllogistic,single-choice,a
0vg9s78,5,Some;actuaries;opticians/Some not;actuaries;boxers,All;opticians;boxers|All;boxers;opticians|Some;opticians;boxers|Some;boxers;opticians|No;opticians;boxers|No;boxers;opticians|Some not;opticians;boxers|Some not;boxers;opticians|NVC,NVC,syllogistic,single-choice,a
0vg9s78,6,Some;divers;linguists/No;carpenters;divers,All;linguists;carpenters|All;carpenters;linguists|Some;linguists;carpenters|Some;carpenters;linguists|No;linguists;carpenters|No;carpenters;linguists|Some not;linguists;carpenters|Some not;carpenters;linguists|NVC,No;carpenters;linguists,syllogistic,single-choice,a
0vg9s78,7,Some;linguists;divers/Some;linguists;carpenters,All;divers;carpenters|All;carpenters;divers|Some;divers;carpenters|Some;carpenters;divers|No;divers;carpenters|No;carpenters;divers|Some not;divers;carpenters|Some not;carpenters;divers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,8,No;writers;hikers/Some;writers;drivers,All;hikers;drivers|All;drivers;hikers|Some;hikers;drivers|Some;drivers;hikers|No;hikers;drivers|No;drivers;hikers|Some not;hikers;drivers|Some not;drivers;hikers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,9,All;florists;soldiers/Some;soldiers;editors,All;florists;editors|All;editors;florists|Some;florists;editors|Some;editors;florists|No;florists;editors|No;editors;florists|Some not;florists;editors|Some not;editors;florists|NVC,Some;florists;editors,syllogistic,single-choice,a
