id,sequence,task,choices,response,domain,response_type,group
2STVj36,0,Some;buyers;cyclists/No;cyclists;students,All;buyers;students|All;students;buyers|Some;buyers;students|Some;students;buyers|No;buyers;students|No;students;buyers|Some not;buyers;students|Some not;students;buyers|NVC,Some not;buyers;students,syllogistic,single-choice,b
2STVj36,1,All;cooks;mayors/Some;swimmers;mayors,All;cooks;swimmers|All;swimmers;cooks|Some;cooks;swimmers|Some;swimmers;cooks|No;cooks;swimmers|No;swimmers;cooks|Some not;cooks;swimmers|Some not;swimmers;cooks|NVC,Some;cooks;swimmers,syllogistic,single-choice,b
2STVj36,2,No;lawyers;athletes/Some not;lawyers;hunters,All;athletes;hunters|All;hunters;athletes|Some;athletes;hunters|Some;hunters;athletes|No;athletes;hunters|No;hunters;athletes|Some not;athletes;hunters|Some not;hunters;athletes|NVC,Some;athletes;hunters,syllogistic,single-choice,b
2STVj36,3,No;secretaries;brokers/All;secretaries;agents,All;brokers;agents|All;agents;brokers|Some;brokers;agents|Some;agents;brokers|No;brokers;agents|No;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|NVC,Some;brokers;agents,syllogistic,single-choice,b
2STVj36,4,Some not;golfers;bankers/No;teachers;golfers,All;bankers;teachers|All;teachers;bankers|Some;bankers;teachers|Some;teachers;bankers|No;bankers;teachers|No;teachers;bankers|Some not;bankers;teachers|Some not;teachers;bankers|NVC,Some;teachers;bankers,syllogistic,single-choice,b
2STVj36,5,Some;skaters;poets/All;skaters;miners,All;poets;miners|All;miners;poets|Some;poets;miners|Some;miners;poets|No;poets;miners|No;miners;poets|Some not;poets;miners|Some not;miners;poets|NVC,Some;poets;miners,syllogistic,single-choice,b
2STVj36,6,Some not;climbers;skaters/Some;skaters;therapists,All;climbers;therapists|All;therapists;climbers|Some;climbers;therapists|Some;therapists;climbers|No;climbers;therapists|No;therapists;climbers|Some not;climbers;therapists|Some not;therapists;climbers|NVC,Some;climbers;therapists,syllogistic,single-choice,b
2STVj36,7,Some;nurses;actors/Some;drillers;actors,All;nurses;drillers|All;drillers;nurses|Some;nurses;drillers|Some;drillers;nurses|No;nurses;drillers|No;drillers;nurses|Some not;nurses;drillers|Some not;drillers;nurses|NVC,Some;nurses;drillers,syllogistic,single-choice,b
2STVj36,8,Some;architects;trainers/All;designers;architects,All;trainers;designers|All;designers;trainers|Some;trainers;designers|Some;designers;trainers|No;trainers;designers|No;designers;trainers|Some not;trainers;designers|Some not;designers;trainers|NVC,Some not;designers;trainers,syllogistic,single-choice,b
2STVj36,9,Some not;poets;cashiers/All;poets;waiters,All;cashiers;waiters|All;waiters;cashiers|Some;cashiers;waiters|Some;waiters;cashiers|No;cashiers;waiters|No;waiters;cashiers|Some not;cashiers;waiters|Some not;waiters;cashiers|NVC,Some not;waiters;cashiers,syllogistic,single-choice,b
